Unsmoothed	SavitzkyGolayFilter	ButterworthFilter
7.678	7.678	4.122
9.508	9.508	5.617
2.503	2.503	6.881
5.792	7.256	7.800
9.726	7.546	8.297
9.628	7.366	8.326
5.958	7.097	7.903
9.711	7.162	7.155
8.246	6.647	6.320
0.615	5.975	5.666
6.253	6.309	5.374
6.117	6.026	5.451
4.923	5.034	5.740
8.297	6.168	6.029
7.733	6.239	6.170
1.299	5.618	6.141
8.551	6.196	6.018
6.751	5.780	5.896
1.773	5.938	5.817
8.969	5.837	5.768
5.383	5.654	5.714
8.838	5.367	5.649
0.595	5.807	5.597
7.272	5.812	5.575
4.737	5.392	5.550
4.857	4.527	5.445
9.002	5.819	5.202
2.445	4.936	4.846
2.777	4.492	4.503
9.640	4.604	4.337
1.089	4.547	4.430
1.631	4.605	4.697
5.641	4.738	4.890
8.607	3.550	4.732
2.848	3.925	4.107
3.711	3.858	3.187
1.321	3.406	2.396
3.716	2.979	2.208
1.162	3.933	2.875
2.476	4.507	4.256
5.617	5.471	5.835
9.527	5.596	6.965
7.730	5.881	7.200
8.069	5.765	6.539
4.592	5.501	5.418
3.157	5.315	4.469
1.667	5.243	4.164
3.763	5.362	4.574
8.226	5.047	5.382
7.225	5.770	6.118
8.904	6.186	6.457
2.387	5.745	6.378
8.217	5.832	6.102
4.582	6.073	5.864
0.670	5.548	5.729
8.840	5.358	5.553
8.913	4.880	5.147
5.230	4.315	4.490
1.055	4.721	3.819
4.868	4.448	3.511
0.626	4.405	3.827
3.513	5.018	4.701
6.934	5.528	5.739
8.606	4.900	6.436
9.526	5.713	6.478
4.622	5.990	5.927
0.476	5.574	5.174
6.316	5.770	4.695
5.449	5.100	4.790
4.022	5.238	5.427
9.979	6.498	6.293
4.835	6.075	6.957
5.589	6.133	7.068
9.297	5.716	6.495
3.353	4.652	5.369
5.856	4.344	4.018
1.108	3.771	2.841
2.525	2.899	2.158
2.680	3.169	2.101
1.580	2.935	2.575
3.191	3.570	3.318
5.239	3.314	4.021
4.219	4.174	4.454
5.552	4.436	4.555
0.736	4.132	4.433
8.703	4.517	4.290
3.414	4.487	4.305
1.059	4.379	4.536
7.937	5.144	4.877
4.008	4.281	5.115
4.798	4.693	5.044
6.091	4.806	4.609
2.661	3.972	3.967
6.294	3.770	3.446
1.850	4.388	3.386
2.103	4.739	3.947
2.593	5.783	4.997
9.124	5.267	6.162
8.543	5.767	7.015
9.970	6.654	7.299
2.682	6.884	7.044
5.351	6.616	6.507
8.314	5.977	5.999
4.204	5.523	5.716
7.246	6.415	5.671
4.069	5.826	5.745
6.798	5.326	5.791
8.920	5.830	5.731
1.229	5.707	5.590
4.814	5.490	5.452
7.733	5.873	5.397
6.388	4.838	5.450
2.550	5.432	5.568
9.475	6.072	5.663
1.677	5.165	5.637
5.387	5.376	5.432
9.294	5.130	5.064
1.382	3.949	4.644
7.869	5.054	4.337
0.823	5.482	4.285
1.208	4.360	4.526
9.417	5.480	4.978
8.379	4.912	5.488
1.441	5.104	5.910
9.224	6.260	6.148
3.888	5.978	6.143
2.174	4.960	5.852
9.295	5.220	5.264
7.446	4.185	4.466
1.249	4.199	3.677
3.263	4.276	3.198
1.983	4.219	3.265
3.982	4.275	3.901
2.711	5.086	4.870
8.899	4.622	5.779
7.840	5.525	6.279
6.925	5.909	6.238
0.014	5.794	5.786
8.306	5.164	5.222
6.667	5.449	4.849
1.905	4.905	4.837
4.493	5.800	5.167
9.829	5.815	5.666
3.123	5.368	6.098
6.275	5.551	6.264
8.410	5.569	6.061
3.541	5.088	5.508
3.187	5.043	4.723
4.617	4.320	3.899
6.464	3.298	3.269
2.809	3.895	3.048
1.211	4.691	3.354
1.255	4.498	4.130
7.720	4.570	5.128
8.761	5.151	5.994
3.265	5.689	6.419
6.972	5.990	6.284
6.873	5.158	5.705
4.980	4.978	4.970
3.358	4.722	4.390
1.896	5.152	4.152
7.503	4.392	4.254
1.474	4.502	4.540
9.980	4.366	4.814
1.551	5.500	4.955
5.750	4.511	4.959
2.406	4.848	4.908
9.839	4.631	4.894
0.576	5.736	4.959
3.837	5.354	5.095
8.462	5.182	5.283
9.280	5.050	5.530
3.076	5.927	5.862
1.202	6.749	6.257
8.919	6.291	6.592
6.715	5.703	6.669
9.587	5.380	6.334
5.256	5.258	5.610
5.166	5.268	4.719
0.814	4.976	3.975
0.347	3.747	3.602
8.987	4.202	3.628
4.677	3.757	3.897
0.982	3.745	4.194
8.440	4.590	4.359
2.052	3.870	4.331
0.728	4.007	4.126
6.262	3.991	3.788
3.949	2.792	3.385
5.634	3.218	3.018
0.868	3.821	2.824
0.052	3.608	2.927
5.034	3.673	3.355
4.947	3.299	4.002
4.772	4.582	4.654
4.402	4.799	5.074
3.019	4.155	5.105
9.849	4.306	4.733
1.572	4.153	4.099
0.525	3.897	3.440
6.005	3.578	3.000
3.702	3.314	2.941
2.611	3.593	3.284
0.780	4.680	3.908
8.002	3.830	4.585
3.529	4.559	5.072
8.135	4.478	5.205
0.053	4.892	4.953
8.801	3.994	4.425
2.046	3.734	3.803
3.677	3.167	3.255
1.716	3.589	2.864
1.707	2.748	2.614
4.166	2.859	2.446
3.011	2.404	2.337
2.908	2.379	2.352
2.826	3.492	2.611
0.492	3.614	3.183
1.540	4.061	4.001
9.499	4.487	4.855
5.022	4.790	5.500
6.144	5.144	5.794
5.890	6.125	5.780
4.942	5.375	5.641
2.969	5.818	5.572
8.410	5.859	5.666
4.246	5.663	5.872
8.129	5.485	6.055
6.431	6.452	6.094
4.517	5.777	5.961
3.696	5.834	5.727
9.738	5.359	5.510
3.685	5.390	5.409
4.641	5.656	5.438
4.809	5.685	5.518
6.646	4.719	5.506
6.376	4.894	5.273
3.897	4.791	4.782
2.980	4.201	4.131
4.911	4.317	3.526
3.918	3.678	3.200
0.675	3.401	3.307
7.461	4.282	3.832
1.903	4.773	4.563
1.957	4.337	5.161
9.152	4.517	5.304
8.345	3.718	4.851
0.868	3.671	3.937
1.936	3.752	2.916
1.863	3.632	2.205
1.576	2.736	2.095
2.527	3.398	2.659
8.309	4.530	3.770
2.073	5.380	5.187
5.504	6.251	6.639
9.861	7.005	7.870
7.812	7.189	8.654
7.669	8.219	8.823
7.811	7.433	8.323
9.593	6.542	7.274
9.283	6.038	5.987
0.005	6.136	4.873
3.622	5.582	4.297
4.284	5.359	4.415
8.350	5.043	5.118
3.939	6.379	6.106
8.031	6.771	7.032
7.066	7.092	7.650
9.357	7.174	7.892
6.366	7.685	7.838
6.532	7.484	7.634
8.928	7.272	7.400
7.512	6.556	7.169
6.629	6.887	6.889
5.581	6.524	6.471
4.346	5.675	5.858
8.683	5.147	5.087
3.987	4.209	4.300
2.985	3.894	3.690
3.817	4.158	3.391
0.065	3.570	3.375
3.378	3.421	3.453
6.193	3.161	3.392
4.567	2.820	3.093
2.941	3.041	2.699
1.168	3.864	2.543
1.429	3.686	2.937
1.612	4.296	3.953
9.137	5.119	5.332
4.948	5.822	6.599
8.834	6.102	7.313
8.708	6.676	7.289
6.086	5.929	6.679
3.388	6.230	5.852
5.628	5.422	5.172
3.913	4.685	4.805
7.053	4.961	4.672
3.176	4.637	4.549
3.553	4.016	4.248
8.018	3.673	3.755
1.121	3.461	3.243
1.279	3.769	2.958
1.510	3.639	3.050
5.570	3.211	3.465
5.331	3.291	3.963
2.648	4.035	4.248
5.016	3.985	4.130
1.680	3.357	3.636
6.492	3.142	3.004
1.158	3.433	2.584
1.178	3.287	2.667
3.825	4.408	3.340
4.683	4.324	4.427
3.994	4.704	5.559
